Title,Price,Description,Origin,Weight,Size,Category
ZONIN PROSECCO 750ML,"LKR 4,900.00","Very well-balanced and appealing, with an extremely delicate almond note that is typical of Prosecco. An excellent aperitif. It can also be served throughout the meal – including desert – as along as the dishes are not too strong.",-,-,750ML,Sparkling Wine
MILLAMAN CAM MERLOT 750 ML,"LKR 3,700.00","Wine has a round, full-bodied taste with pleasant aftertaste. Intensive dark red fruit aroma with spicy tobacco notes.",-,-,750ML,Red Wine
CULEMBORG SWEET RED 750 ML,"LKR 3,700.00","Brilliant red and sweetish shades of ripe fruit, cherry pie and caramel. Silky smooth and well balanced in taste with a delicate texture and berry notes in the aftertaste.",-,-,750ML,Red Wine
MILLAMAN CON CABERNET SAUVIGNON 375 ML,"LKR 2,100.00","A ripe, juicy wine, filled with notes of cassis, ripe plums and fresh berries. Smooth and velvety mouth. Excellent with a wide range of dishes, including beef, stews and mature cheeses. To enjoy at its best, open one hour before drinking and serve at room temperature.",-,-,375ML,Red Wine
SASOREGALE SANGIOVESE MAREMMA 750ML,"LKR 7,400.00",A bright ruby red wine.,-,-,750ML,Red Wine
LB CHATEAUNEUF DU PAPE 750ML,"LKR 15,800.00",Palate: opening into spicy (liquorice) and fruity aromas.,-,-,750ML,Uncategorized
ZONIN APULO FIANO BIANCO 750ML,"LKR 4,800.00","TASTING NOTES
Colour: bright straw yellow with slight greenish reflections.
Bouquet: a broad bouquet that opens with notes of peach, grapefruit and lemon peel, followed by hints of orange blossom, jasmine and lemon balm.
Flavour: a very pleasurable mouthfeel, lively, fresh and intensely aromatic. The fruity and floral notes on the nose follow through perfectly on the palate.",-,-,750ML,Sparkling Wine
SANTA CRISTIANA ROSSO 750 ML,"LKR 6,400.00","The Santa Cristina Rosso shows a full red color with purplish highlights. The nose, pleasurable and intense, offers fruity notes of cherries, blackberries, and plums fused with aromas of vanilla and coffee. The palate is supple, enveloping, and full of fruit on the finish and aftertaste.",-,-,750ML,Red Wine
CONO SUR CABERNET SAUVIGNON 20 BARREL 5LTRS,"LKR 105,300.00","A deep ruby red, this Cabernet Sauvignon is extremely aromatic, displaying aromas of red fruits such as cherry and raspberry, along with cassis and hints of ash, white pepper and spices. Great concentration and volume in the mouth with full, round tannins.",-,-,Unspecified,Red Wine
ZONIN APULO PRIMITIVO ROSSO 750ML,"LKR 5,500.00","TASTING NOTES
colour: deep red, heightened by brilliant purple reflections.
bouquet: intense notes of red fruit, and plum and black cherry jam, accompanied by hints of vanilla and cinnamon.
flavour: soft and enveloping on the palate, the flavour is intense and persistent, invigorated by satisfying acidity.",-,-,750ML,Red Wine
LUGANA DOC SAN BENDETTO 750 ML,"LKR 8,500.00","Pale lemon-green in color, San Benedetto Lugana offers appealing notes of peaches, citrus, bananas, and herbs, which are underscored by crisp acidity and supple body on the palate",-,-,750ML,Red Wine
BANROCK STATION CHARDONNAY 750ML,"LKR 4,000.00","Generous fruit flavours complemented by light oak maturation, crisp yet flavoursome with balance and length.",-,-,750ML,White Wine
BANROCK STATION SAUVIGNON BLANC 750ML,"LKR 4,000.00",This fragrant and aromatic Sauvignon Blanc is bursting with natural tropical fruit aromas and flavours and a hint of herbaceousness. There is a nice crisp finish to what is a delightful sauvignon blanc.,-,-,750ML,White Wine
ZONIN FALANGHINA SALENTO IGT 750ML,"LKR 7,800.00",A balance between richness and acidity con- fers freshness and drinkability to this strongly structured wine.,-,-,750ML,Red Wine
OYSTER BAY CHARDONNAY 750ML,"LKR 5,700.00","Oyster Bay Marlborough Chardonnay is cool climate at its best; fresh and vibrant with aromas of white peach, crisp citrus, a touch of oak and an elegant, creamy texture.",-,-,750ML,White Wine
YALUMBA ORGANIC SOUTH AUSTRALIA CHARDONNAY,"LKR 8,600.00","Family winegrowers since 1849 in South Australia, this wonderful Chardonnay comes from close to the Murray river. Nutty on the nose with subtle oak, its big expressive flavours are of pineapple, stone fruit and melon, with a pleasing long and creamy finish.",-,-,Unspecified,White Wine
SANTA MARGHERITA CHINATHI CLASSICO 750 ML,"LKR 8,900.00",The aromas of this complex red wine range from cherries and plums to gladiolus flowers and earthy flint,-,-,750ML,Red Wine
TALL HORSE MERLOT 750ML,"LKR 4,500.00",Rich ruby with layers of ripe forest berry and spice aromas.,-,-,750ML,Red Wine
SAINT JOSEPH DECHANTS ROUGHE,"LKR 11,800.00","Very floral (violet), developing into liquorice and spices",-,-,Unspecified,Uncategorized
RESERVA AMARONE VALPOLICELLA DOC 750 ML,"LKR 45,200.00","Crushed iris, baked plum, cedar, tobacco and new leather aromas seamlessly come together on this bold full-bodied red.",-,-,750ML,Red Wine
MILLAMAN CON CABERNET SAUVIGNON 750 ML,"LKR 3,900.00","A varietally classic Cabernet Sauvignon with a complex fruity nose dominated by ripe red and black berry aromas and spicy tones. A medium bodied, soft wine with a long persistent finish. A very pleasant, moreish wine to enjoy!",-,-,750ML,Red Wine
PENFOLDS BIN 28 SHIRAZ 750 ML,"LKR 11,500.00","First made in 1959, Penfolds Kalimna Shiraz is an icon in the field of warm-climate Shiraz. Always ripe, robust and generously flavoured. The Bin 28 is named after the Kalimna vineyard that was purchased back in 1945 and from which the original fruit was sourced from. Today, the Bin 28 is a great example of the Penfolds dedication to multi-region, multi-vineyard blending. The Barossa Valley will always remain an integral part of the Bin 28 blend providing rich, vibrant primary fruit flavours.",-,-,750ML,Red Wine
SPY VALLEY PINOT NOIR 750 ML,"LKR 12,900.00","Fragrant dried spice, blackberry and plum, with wafts of freshly ground coffee.",-,-,750ML,Red Wine
TALL HORSE CAB-SAUVIGNON 750 ML,"LKR 4,300.00",Rich ruby with layers of ripe forest berry and spice aromas.,-,-,750ML,Uncategorized
PENFOLDS BIN 389 CABERNET SHIRAZ 750 ML,"LKR 32,300.00","Bin 389 is often referred to as ‘Baby Grange’, in part because components of the wine are matured in the same barrels that held the previous vintage of Grange. First made in 1960, by the legendary Max Schubert, this was the wine that helped to forge Penfolds solid reputation with red wine drinkers combining the structure of Cabernet Sauvignon with the richness of Shiraz. Bin 389 also exemplifies the judicious balance of fruit and oak.",-,-,750ML,Red Wine
HARDY’S STAMP SHIRAZ CABERNET 750ML,"LKR 4,100.00","A medium-bodied wine rich in mulberry, cherry and plum flavours, with subtle spices oak characters and a juicy finish – perfect with lamb, beef or mushroom based dishes.",-,-,750ML,Red Wine
LOUIS BERNARD COTES DU RHONE RED 750ML,"LKR 5,000.00","All the richness and the diversity of the terroirs in the Rhône Valley, from Avignon to Vienna, are expressed in our delicious Côtes-du-Rhône.",-,-,750ML,Red Wine
JOSEPH DROUHIN BEAUJOLAIS VILLAGES 750ML,"LKR 7,700.00","A truly convivial wine. Owing to the careful blending of various terroirs, the result is a wine of great charm.",-,-,750ML,Uncategorized
PENFOLDS KOONUNGA HILL SHIRAZ CABERNET 750ML,"LKR 7,600.00","An iconic Australia blend and one of the most popular wines from Penfolds’ Koonunga Hill range, this Shiraz Cabernet offers exceptional value. The wine is loaded with raspberry, mulberry and redcurrant are supported by a whisper of grainny tannins and well integrated oak backbone.",-,-,750ML,Red Wine
PENFOLDS BIN 2 SHIRAZ MATARO 750 ML,"LKR 12,900.00","Penfolds Bin 2 Shiraz Mataro (also known as Mourvèdre) has a history going back to 1960 when Penfolds made a traditional “Burgundy” style. Penfolds have always loved Mataro (Mourvèdre) for its fantastic ability to blend marvelously with traditional South Australia stalwarts like Shiraz. Adding luscious complexity and palate grip, the Bin 2 is aged in older oak to emphasise the spicy savouriness of Mataro (Mourvèdre) that complements the plush richness of Shiraz.",-,-,750ML,Red Wine
PENFOLDS KOONUNGA HILL 76 SHIRAZ CABERNET 750 ML,"LKR 8,000.00","The Penfolds Koonunga Hill Seventy Six Shiraz Cabernet is a refined version of this classic Australia blend of Shiraz Cabernet; packed with plenty of dark fruit flavours and a nice touch of oak, this is a great drinking red wine that’s ready to be enjoyed now.",-,-,750ML,Red Wine
PUNT ROAD PINOT GRIS DOM 750ML,"LKR 8,400.00","Fresh and lively with flavors of crunchy nashipear, Meyer lemon, Lemonade, and fresh ginger. Textural harmony.",-,-,750ML,Uncategorized
PENFOLDS ST.HENRI SHIRAZ 750 ML,"LKR 37,300.00","St Henri Shiraz is known to many to be the red wine drinkers’ red wine. The traditional handling of this iconic wine first vinified in 1957 includes the maturation in 50+ year old seasoned oak vats for over 12 months, imparting an elegance and femininity not usually associated with Penfolds. The 2013 St Henri is made from 100% Shiraz, showing traditionally rich and plush characteristics in its youth. Keep this one in the cellar for a couple of years and the soft, earthy, mocha-like characters will shine through.",-,-,750ML,Red Wine
MARIUS IGP ROSE WINE 750ML,"LKR 4,700.00","Bright, pale pink with slight bluish tints. Floral with an amylic note. Wine with a frank attack, well balanced acidity, full and enhanced by white-fleshed fruit notes",-,-,750ML,White Wine
ZONIN SPARKLING ROSE SPARKLING 750ML,"LKR 5,600.00","Zonin sparkling wines are made from premium selected grapes of outstanding value and freshness, perfect for special occasions and celebrations. Excellent as an aperitif and an ideal accompaniment to hors d’oeuvres risottos, fragrant fried food and grilled fish.",-,-,750ML,Sparkling Wine
COTES DE PROVENCE ROSE ROUMERY 750 ML,"LKR 7,700.00","Palate: Fresh, well-balanced and smooth. This rosé is fresh and full on the palate.",-,-,750ML,Rose Wine
BELLERUCHE BLANC COTESDU RHONE 750ML,"LKR 6,400.00",N/A,-,-,750ML,White Wine
TORRES SANGRE DE TORO 187.50ML,"LKR 2,100.00","Deep cherry red. Rich aroma of dark berries (wild blackberries) with ripe (dried plums) and toasted (roasted coffee) notes. An intense, warm, succulent palate with an echo of licorice on the finish. Pairs perfectly with stews, wild game, meat paellas and hearty, traditional mountain cuisine. Serve at 17ºC.",-,-,Unspecified,Red Wine
TORRES GRAN VINA SOL CHARDONNAY 750 ML,"LKR 6,600.00","Chardonnay fermented in oak barrel. Deeper and denser than traditional Spanish white wines. Viña Sol consumers can trade up to Gran Viña Sol.
Taste: Tasting notes: In the 1960s, we started experimenting with barrel fermentation in French oak. So our Gran Viña Sol was born, the result of blending Chardonnay with Parellada. It has lovely aromas of ripe peaches and an elegant finish with vanilla notes.
Serving suggestions: Excellent with fish, paella and turkey. Serve at 11°C.",-,-,750ML,White Wine
EL ZORRO EL BLANCO 750ML,"LKR 3,000.00","EL ZORRO EL BLANCO is a dry white wine from the Rueda region of Spain. It is made from Verdejo grapes, which are known for their citrusy and floral flavors. The wine has a pale yellow color and a fresh, fruity aroma. The palate is crisp and refreshing, with flavors of lemon, grapefruit, and white peach. The wine has a long, minerally finish.",-,-,750ML,White Wine
MILLAMAN CON CHARDONNAY 1500ML,"LKR 9,100.00","Crisp aromas of green apple, ripe melon and succulent tropical pineapple, with a smooth and creamy finish. Excellent as an aperitif or with creamy pasta dishes and dishes based on fish or poultry.",-,-,1500ML,White Wine
CULEMBORG CAPE WHITE 750 ML,"LKR 3,500.00",Lively fresh citrus aromas and hints of apples. A more tropical touch on the palate with ripe apricot and a refreshing finish.,-,-,750ML,White Wine
MILLAMAN CAMPERO CABERNET SAUVIGNON 750 ML,"LKR 3,700.00","Campero Cabernet Sauvignon is filled with delicious cassis, plum and fresh berry flavours. It is a great match for red meats, casseroles and mature cheeses.",-,-,750ML,Red Wine
HARDY’S HRB CHARDONNAY 750ML,"LKR 10,500.00","Aromatic white stone fruit, with lemon curd and subtle oak tones. Intensely flavoured with notes of white peach, nectarine and lemon combined with subtle hints of spices and cream. A strong backbone of natural acidity provides vibrancy and a mineral line to a sweet and textured palate of impressive persistence.",-,-,750ML,White Wine
HARDY’S STAMP SEMILLON SAUVIGNON 750ML,"LKR 4,100.00",This wine has a fresh zesty palate with very bright fruit and well balanced acid.,-,-,750ML,Uncategorized
MEYSONNIERS ROUGE AOC 750 ML,"LKR 10,900.00","The Meysonniers Rouge is a very intense red with purple tinges on the eye. The nose bursts with red fruits, blackcurrant and raspberry, followed by violet aromas. Ample and round in the mouth, finishing on flavours of stewed fruits and vanilla.",-,-,750ML,Red Wine
CONO SUR TOC CAB-SAUVIGNON 750ML,"LKR 3,700.00","Color             : Ruby Red
Flavours       : On the nose is governed by pleasant notes of plum, raspberry and sweet spices, while on the palate chocolate and subtle hints of vanilla 
Sweet/ Dry    : Dry
Light/ Bold    : Bold
Food Pairing : Grilled Meat and BBQ, Stews, Pasta",-,-,750ML,Red Wine
CONO SUR TOC MERLOT 750ML,"LKR 3,600.00","Color             : Dark Red
Flavours       : In nose, concentrated notes of black fruit and soft hints of sweet toasted oak. In mouth this Merlot surprises with its excellent structure, balanced acidity, fruit intensity and pleasantly ripe tannins.
Sweet/ Dry    : Dry
Light/ Bold    : Bold
Food Pairing : Burger, Stakes, Tuna Sashimi and Sushi, Cold Cuts",-,-,750ML,Red Wine
CONO SUR TOC SAUVIGNON BLANC 750ML,"LKR 3,700.00","Color             : Medium-straw
Flavours       : Aromas of nuts, berries and citrus; plus herbs and grapefruit flavours on the palate with a crisp dry finish.
Sweet/ Dry    : Dry
Light/ Bold    : Medium Light/ Bold
Food Pairing : Potato Salad (Veg), Goat Cheese, Prawns,Crabs and Lobster",-,-,750ML,White Wine
CONO SUR TOC CHARDONNAY 750ML,"LKR 3,600.00","Color             : Yellow colour with golden hints
Flavours       : Refreshing citrus aromas, fruity notes of white peaches, along with mineral hints
Sweet/ Dry    : Medium Dry/Sweet
Light/ Bold    : Bold
Food Pairing : Best for Cheese platters, Salmon, Bacon, Nuts",-,-,750ML,White Wine
TORRES VINA ESMERALDA,"LKR 6,000.00","Brilliant pale straw yellow. Fragrant, floral (orange blossom), with delicate nuances of exotic fruit (cherimoya) and a note of apple jam. Smooth and exquisitely luscious on the palate, leaving a subtle honeyed trace.",-,-,Unspecified,Uncategorized
TORRESELLA PROSECCO BRUT-SPUMANTE SPARKLING 750ML,"LKR 5,900.00",Torresella Prosecco embodies everything that Italians love about this wine. Crisp fruit flavors are accented with a fresh and delicate aroma from grapes grown on the hillsides of the Veneto. A great all round wine for enjoying with friends in the garden or over a fine meal.,-,-,750ML,Sparkling Wine
TORRES VINA SOL 750 ML,"LKR 5,100.00","Clear bright gold color. Crisp with fine citrus (lemon) and wild floral (broom) aromas. Clean, savory palate with delicate fruit acidity.",-,-,750ML,Uncategorized
CONO SUR BICI RES MERLOT 750 ML,"LKR 4,000.00","A soft and serious Merlot, a wine of great tipicity and remarkable fruit expression. This wine’s plum-red coloring is dark and intense. In nose, concentrated notes of black fruit and soft hints of sweet toasted oak. The palate surprises with its excellent structure, balanced acidity, fruity intensity and pleasantly ripe tannins. Undoubtedly to be drunk young.",-,-,750ML,Red Wine
CJL BLANC-DE-BLANCS DEMI-SEC SPARKLING 750ML,"LKR 5,400.00","Enticing pale gold color with especially elegant, fine bubbles. The aromas are fresh and fruity in style. Light and crispy to the taste. Jean-Louis Blanc De Blancs Demi Sec is full bodied with a long finish.",-,-,750ML,White Wine
BELL HOMESTEAD ORCH CHEN BLANC 750ML,"LKR 7,300.00","A pale gold wine with a platinum glow and nuances of ripe stone fruit and buttered toast aromas on the nose. Charming layers of honey, marmalade and peaches on the palate finishing with a citrus-lime freshness.",-,-,750ML,White Wine
CJL BLANC-DE-BLANCS BRUT SPARKLING 750ML,"LKR 5,400.00","Enticing pale gold colour with especially elegant, fine bubbles. The aromas are fresh and fruity in style. Light and crispy to the taste. Cuvee Jean-Louis is full-bodied with a long finish",-,-,750ML,White Wine
MARIUS IGP BLANC-WHITE WINE,"LKR 4,800.00","Blend of two mediterranean varieties, Marius shows a lot of freshness and a certain decontraction – a will from Chapoutier. Aromas of grapefruit and ripe fruits are mixing on the nose, bringing to a full and fruity palate. A pretty white wine !",-,-,Unspecified,White Wine
TAYLORS LBV 750 ML,"LKR 9,500.00","Great black fruit quality on the stylish nose which displays inky notes, a discreet herbal and mineral character and hints of liquorice. Beautifully complex, fine and elegant bouquet. Wonderful velvety texture on the rich, concentrated and weighty palate which delivers heaps of flavour leading into a long finish crammed with sumptuous dark chocolate and liquorice.",-,-,750ML,Uncategorized
TAYLORS FINE TAWNY 750 ML,"LKR 6,900.00","Taylor’s Fine Tawny is drawn from wines selected for their smoothness and mellow character. These are aged for up to three years in oak casks in Taylor’s cellars in Vila Nova de Gaia. The individual wines are then blended together a few months before bottling for balance and completeness. Taylor’s Fine Tawny Port is particularly popular in Continental Europe where it is drunk predominantly as an aperitif. For those preferring a lighter style, this versatile port can also be enjoyed after meals. Bottled when ready to drink and does not require any further ageing in bottle.",-,-,750ML,Red Wine
TORRES SANGRE DE TORO 750 ML,"LKR 5,600.00",Deep cherry red. Rich aroma of dark berries (wild blackberries) with ripe (dried plums) and toasted (roasted coffee) notes,-,-,750ML,Red Wine
VILLA WOLF GEWURZTRAMINER 750 ML,"LKR 5,500.00","Clean, fruity and wonderfully light on its feet, showing off the aromatic charm of the variety without being heavy or ponderous.",-,-,750ML,Uncategorized
ANTINORI VILLA ROSSO,"LKR 9,500.00","This extremely reliable, Chianti-style wine was launched by the Antinori family in 1928. Smooth and stylish, its cherry flavours – typical of the Sangiovese grape – mingle with vanilla and toasty notes. Tails off on the finish, but should match well with acidic and fatty foods.",-,-,Unspecified,Red Wine
RUFFINO CHIANTI D.O.C.G 750ML,"LKR 6,800.00","Ruffino Chianti DOCG is an approachable, easy-drinking wine that has predominantly fruity and floral aromatics, with hints of spice and hazelnut.",-,-,750ML,Red Wine
THE BEACH HOUSE ROSE WINE 750 ML,"LKR 5,300.00","Tastes like red cherry lollipops, raspberry and strawberry jelly",-,-,750ML,Red Wine
TORRESELLA REFOSCO ROSSO 750ML,"LKR 5,500.00",A red wine with a strong personality and a characteristic intense red color. It offers rich scents of wild berries and a long persistent finish with delightfull bitter notes.,-,-,750ML,Red Wine
CONO SUR RES CAB-SAUVIGNON 750ML,"LKR 6,100.00","This elegant and robust Cabernet Sauvignon comes from Maipo valley, Chile’s most traditional origin. It displays an intense nose of ripe fruit like strawberries and plums, with final touches of sweet spices. In mouth, this wine is fruity, sophisticated and rich, with blackberry and juicy plum, together with harmoniously integrated touches of toasted oak.",-,-,750ML,Red Wine
MILLAMAN CON SAUVIGNON BLANC 750 ML,"LKR 3,900.00",Chile Sauvignon Blanc is now recognised as some of the best in the world. This super value Sav has citrus and tropical fruits on the nose and is medium bodied and well structured on the palate. Well balanced acidity and a long refreshing finish,-,-,750ML,White Wine
BOUCHARD AINE & FILS MACON SUPERIOR ROUGE 750ML,"LKR 7,500.00","Exotic, even spicy. Well balanced aromas with dominant notes reminiscent of grass and flowers. In general MÃ¢con-Villages wines are dry, light, lively, charming and fresh. Their spontaneity and lightness make them very seductive.",-,-,750ML,Uncategorized
CONO SUR BICI RES CAB SAUVI 750 ML,"LKR 4,000.00","A deep, impressive ruby-red color that suggests concentrated grapes harvested at just the right moment. This Cabernet Sauvignon´s nose is governed by pleasant notes of plum, raspberry and sweet spices, while in the mouth, chocolate and subtle hints of vanilla can be appreciated. A very structured, balanced, long and elegant wine.",-,-,750ML,Red Wine
CONO SUR BICI RES SAUVIGNON BLANC,"LKR 4,000.00","Elegant, expressive and dressed in a green-yellow coloring, this Sauvignon Blanc impresses with its citrus notes of grapefruit and green apple, which mingle in with herbal hints. In mouth, its freshness and balance stand out in particular, along with its citric notes and pleasant mineral ending.",-,-,Unspecified,White Wine
MARIUS IGP ROUGE-RED WINE 750ML,"LKR 4,800.00","Red, purple, dense, clear with deep purple glints. Powerful, complex, dark, spicy, red berries, delicate floral touch. Powerful, concentrated and structured attack with a tinge of silky tannins. Red fruit aromas.",-,-,750ML,Red Wine
CONO SUR BICI RES CHARDONNAY 750 ML,"LKR 4,000.00","This Chardonnay has a beautiful, young yellow coloring with golden hints. Exuberant and complex, this wine conveys refreshing citrus aromas, fruity notes of white peaches and mineral hints. In mouth, complex fruity flavors mingle in with lovely mineral notes. Our Bicicleta Chardonnay is a young and fresh wine, very balanced, with a great acidity.",-,-,750ML,White Wine
TAYLORS SELECT RES 750 ML,"LKR 7,100.00","Taylor’s Select Reserve Port is blended from carefully selected young red wines produced in the Baixo Corgo and Cima Corgo areas of the upper Douro Valley, chosen for their depth of colour, intense fruit and full, firm palate.",-,-,750ML,Red Wine
CONO SUR RES MERLOT 750ML,"LKR 6,100.00","A round, velvety, seductive and very fruit-forward Merlot from the acclaimed Colchagua Valley. It displays an aromatic nose with notes of plum and black cherries, with slighter cocoa, pepper, coffee and toasted sweet oak hints. In mouth, this wine presents an excellent structure, with plenty of fruit and superb tannins. Long, pleasant and elegant ending.",-,-,750ML,Red Wine
MILLAMAN CON CHARDONNAY 750 ML,"LKR 3,600.00","A beautifully pale, delicate yellow Chardonnay. A very attractive fruity nose dominated by tropical fruits and honey notes. On the palate the wine is fresh with well balanced acidity and a rounded, long, pleasant finish.",-,-,750ML,White Wine
RUFFINO ORVIETO CLASSICO D.O.C.,"LKR 6,000.00","We source the grapes for this wine in the Orvieto Classico DOC, noted for its plantings of white grape varieties. The Orvieto blend is made up of grape varieties that are indigenous to Umbria: Grechetto, Procanico, Verdello, and Canaiolo Blanco. After fermentation, we briefly age Orvieto in stainless steel vats until it is bottled.",-,-,Unspecified,White Wine
TALL HORSE CHARDONNAY 750ML,"LKR 4,300.00",Bright gold with generous tropical fruit and vanilla oak aromas,-,-,750ML,White Wine
SANTA JULIA ORGANIC CHARDONNAY 750 ML,"LKR 4,800.00","Created in honor of the only daughter of José Zuccardi, Santa Julia represents a commitment to achieve the highest of quality standards, while developing sustainable policies that contribute to environmental care. The grapes comes from organically grown vineyards (no insecticide, pesticides or non-organic fertilizers are used) and given the upmost care. Their Chardonnay is sourced from their ‘Santa Rosa’ vineyard and is a dry white, well balanced with pleasant & elegant aromas of tropical fruits, green apple, pear, banana and pineapple, with a hint of honey and citric notes.",-,-,750ML,White Wine
BELL HOMESTEAD SHIRAZ 750ML,"LKR 8,300.00","This Shiraz has an intense dark ruby red colour with flavours of plums, blackcurrants and pepper with hints of dark chocolate and mixed spice. On the palate, it boasts with blackberry fruits, violets and black pepper.",-,-,750ML,Red Wine
TAYLORS FIRST ESTATE RES 750 ML,"LKR 9,500.00","First Estate is an excellent introduction to the Taylor’s style of intensely fruity but elegant and well balanced Ports. It is blended from full bodied young red wines from the Cima Corgo area, then mellowed by several years of ageing in oak vats. Sensational with a gooey chocolate fondant, or a piece of farmhouse cheddar. Taylor’s First Estate Port is a classic reserve blend produced to commemorate the firm’s acquisition in 1744 of its first property in the upper Douro Valley, the Casa dos Alambiques at Lugar das Lages.",-,-,750ML,Red Wine
ANTINORI VILLA BIANCO,"LKR 7,000.00","Made mainly from traditional Tuscan grape varieties, especially Trebbiano and Malvasia, with a small addition of Chardonnay and Pinot Bianco. The blend of native and international varieties creates a fresh, stylish wine which maintains the typical character of this region.",-,-,Unspecified,White Wine
VASSE FELIX SAUVIGNON BLANC SEMILLON 750 ML,"LKR 8,800.00","This wine is a blend of Vasse Felix’s best parcels of Sauvignon Blanc and Semillon, a portion of which is fermented in new French oak barriques to provide additional complexity, texture and length. It is aromatic and vibrant with a subtle savoury nuance.",-,-,750ML,White Wine
CONO SUR RES CHARDONNAY 750ML,"LKR 6,100.00","Just a few steps from the Pacific Ocean, this Chardonnay comes from the Casablanca Valley, a most priviledged origin for growing cool-climate varieties. Bright yellow with golden hues, this wine is recognized for its strong citrus aromas that accompany a superb mineral, oaky character. In mouth, it’s fruity, mineral and fresh. Overall, an elegant, refreshing and well-balanced Chardonnay",-,-,750ML,White Wine
BOUCHARD AINE & FILS POUILLY-FUISSE,"LKR 19,800.00","Elegant, fairly reticent, very mineral with flowery, vegetal undertones enlivened with a honey note. The palate is well-balanced with a pleasing citrus lemon entry and grassy notes. Clean and pure with notes of ginger on the long finish.",-,-,Unspecified,Uncategorized
VALPOLICELLA DOC SUP 750 ML,"LKR 8,600.00","Ruby red in color, this Valpolicella Superiore offers fleshy aromas of wild berries, black currants, black cherries, and spices, with hints of chocolate. On the palate, the wine is dry and robust with velvety texture",-,-,750ML,Red Wine
TALL HORSE PINOTAGE ROSE 750 ML,"LKR 4,300.00",An attractive deep pink shimmering with playful ripe red berry,-,-,750ML,Red Wine
TORRES MAS LA PLANA 750 ML,"LKR 35,200.00",This wine’s noble and healthy tannins will complement the best meat and game dishes. Serve at 17-18ºC,-,-,750ML,Uncategorized
ROBERT MONDAVI PRIVATE SELECTION ZINFANDEL 750 ML,"LKR 9,900.00","The Private Selection Zinfandel is crafted with fruit from California’s Central Coast vineyards, revered for their ideal climate. The Central Coast’s cooling ocean breezes slow the pace of ripening, preserving precious acidity and sugar levels, while supporting the development of concentrated layers of flavor in the grapes.",-,-,750ML,Red Wine
TALL HORSE SAUVIGNON BLANC 750 ML,"LKR 4,300.00",An engaging perfumed nose with expressive grassy tropical fruit,-,-,750ML,White Wine
THE BEACH HOUSE SAUVIGNON BLANC,"LKR 5,300.00","gooseberry, grapefruit, melon rind aromas with a twist of lemon",-,-,Unspecified,White Wine
PENFOLDS KOONUNGA HILL AUTUMN RIESLING 750ML,"LKR 7,800.00","Discover the allure of Penfolds Koonunga Hill Autumn Riesling, a sublime wine crafted from grapes cultivated in the cool-climate regions of South Australia. This exquisite Riesling showcases a pale straw color and an enticing bouquet of zesty lemon, vibrant lime, and delicate floral notes. With its refreshing palate, balanced acidity, and dry finish, this wine is a perfect companion for seafood, salads, and Asian cuisine. Let its crispness and vibrant flavors elevate your dining experience, creating moments of pure delight",-,-,750ML,White Wine
TALL HORSE CHENIN BLANC 750 ML,"LKR 4,300.00",A charming light bodied Chenin Blanc with a safari of ripe fruit,-,-,750ML,White Wine
CONO SUR SAUVIGNON BLANC 750ML (20 BARREL),"LKR 12,800.00","Bright green-yellow but at the same time, pale; this is a wine of great intensity and aromatic persistence. Display a rather mineral nose, with citrus notes and green herbs, along with floral and grapefruit notes. Its freshness is surprisingly expressive. On the palate, this Sauvignon Blanc is elegant, delicate, juicy and well balanced, honoring its origin, just a few kilometers from the Pacific Ocean.",-,-,750ML,White Wine
ZONIN VENTITERRE VALPOLICELLA 750ML,"LKR 5,100.00","Fresh and floral with aromas of almond and berries. Medium weight fruit, without huge complexity, but has a tenous backbone. The finish is highly persistent and delectably clean.",-,-,750ML,Uncategorized
VASSE FELIX CHARDONNAY 750 ML,"LKR 11,300.00","A pure, elegant and vibrant style of Chardonnay, embracing the region’s powerful fruit with complexity and restraint to express the environment, with the hallmarks of Vasse Felix’s premier vineyards.",-,-,750ML,White Wine
HUGEL GEWURZTRAMINER 750 ML,"LKR 9,500.00","Originally from northern Italy, this is the emblematic grape of our region due to its slow maturation with cool nights giving its full varietal expression. Dry but intensely aromatic.",-,-,750ML,Uncategorized
TALL HORSE SHIRAZ 750ML,"LKR 4,500.00",Ripe well rounded pronounced ripe fruit flavours with an untamed spicy edge and deep rich colour. Supple and smooth yet still well structured.,-,-,750ML,Red Wine
ZONIN VENTITERRE CHIANTI DOCG 750ML,"LKR 5,300.00","With intense red color with ruby reflections, Zonin Ventiterre Chianti impresses with a bouquet of cherries, violets and spicy spices.",-,-,750ML,Red Wine
CONO SUR ORG SAUVIGNON BLANC 750 ML,"LKR 4,800.00","This Sauvignon Blanc, made from organically grown grapes certified by the BCS Öeko Garantie GmbH, bears the spirit of our estate workers, pedaling their way to our vineyards each day. Young and fresh, this wine has a nice a bright yellow color with green hues. Its nose is mineral and citric, with herbal hints and notes of white flowers and melon, which anticipate a balanced and refreshing mouth that culminates in a long, mineral finish. Overall, this is an expressive, delicate, juicy and balanced Sauvignon Blanc.",-,-,750ML,White Wine
CONO SUR RES SAUVIGNON BLANC 750ML,"LKR 6,100.00","A strong Pacific Ocean influence and red clay soils concur to foster this refreshing, crisp Sauvignon Blanc with a pale yellow coloring. Its nose displays fine citric notes of grapefruit that combine exquisitely with green apples and white peaches. It’s a fresh and delicate wine with a very pleasant minerality and well-balanced palate.",-,-,750ML,White Wine
